"id","kode_prov","nama_prov","kode_kab","id_kab","nama_kab","kode_kec","id_kec","nama_kec","kode_desa","id_desa","nama_desa","klas","kode_sls4","kode_sls6","kdsubsls","id_sls","id_sls6","nama_sls","sls_op","jenis_sls","j_keluarga","tipe_sls","realisasi_clean","realisasi_error","koseka_approved","koseka_unapproved","tagging_wilkerstat","tagging_sangatmiskin","jml_keluarga_tagging","percepatan","updated_at"
"41","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0001","000100","00","71010210040001","7101021004000100","RT 1 DUSUN 1","1","SLS","392","1","35","75","34","1","83","19","110","0","2022-12-15 06:01:18"
"42","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0003","000300","00","71010210040003","7101021004000300","RT 1 DUSUN 2","1","SLS",,"3","0","3","0","0","46","9","67","0","2022-12-15 06:01:18"
"43","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0004","000400","00","71010210040004","7101021004000400","RT 2 DUSUN 2","1","SLS","86","1","75","0","75","0","62","13","75","1","2022-12-15 06:01:18"
"44","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0005","000500","00","71010210040005","7101021004000500","RT 1 DUSUN 3","1","SLS","122","1","0","0","0","0","104","0","125","0","2022-12-15 06:01:18"
"45","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0007","000700","00","71010210040007","7101021004000700","RT 1 DUSUN 4","1","SLS","56","1","30","42","30","0","52","5","72","0","2022-12-15 06:01:18"
"46","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0009","000900","00","71010210040009","7101021004000900","RT 1 DUSUN 5","1","SLS","55","1","0","0","0","0","58","13","74","0","2022-12-15 06:01:18"
"47","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0011","001100","00","71010210040011","7101021004001100","RT 1 DUSUN 6","1","SLS","66","1","51","0","41","10","57","4","72","1","2022-12-15 06:01:18"
"48","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0013","001300","00","71010210040013","7101021004001300","RT 1 DUSUN 7","1","SLS","94","1","0","0","0","0","66","14","78","0","2022-12-15 06:01:18"
"49","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0015","001500","00","71010210040015","7101021004001500","RT 1 DUSUN 8","1","SLS","35","1","0","0","0","0","32","6","36","0","2022-12-15 06:01:18"
"50","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0016","001600","00","71010210040016","7101021004001600","RT 2 DUSUN 8","1","SLS","19","1","0","0","0","0","18","2","21","0","2022-12-15 06:01:18"
"51","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0017","001700","00","71010210040017","7101021004001700","RT 1 DUSUN 9","1","SLS","57","1","0","0","0","0","56","9","67","1","2022-12-15 06:01:18"
"52","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","0018","001800","00","71010210040018","7101021004001800","RT 2 DUSUN 9","1","SLS","49","1","53","0","53","0","44","7","53","0","2022-12-15 06:01:18"
"53","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","1001","100100","00","71010210041001","7101021004100100","SAWAH",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"54","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","4","7101021004","IKHWAN","2","1002","100200","00","71010210041002","7101021004100200","KEBUN KELAPA",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"55","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0001","000100","00","71010210050001","7101021005000100","RT 1 DUSUN 1","1","SLS","47","1","58","0","58","0","46","20","58","0","2022-12-15 06:01:18"
"56","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0002","000200","00","71010210050002","7101021005000200","RT 2 DUSUN 1","1","SLS","42","1","86","0","86","0","52","1","86","1","2022-12-15 06:01:18"
"57","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0003","000300","00","71010210050003","7101021005000300","RT 3 DUSUN 2","1","SLS","88","1","0","3","0","0","52","21","69","0","2022-12-15 06:01:18"
"58","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0004","000400","00","71010210050004","7101021005000400","RT 4 DUSUN 2","1","SLS","69","1","0","0","0","0","35","16","44","0","2022-12-15 06:01:18"
"59","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0005","000500","00","71010210050005","7101021005000500","RT 5 DUSUN 3","1","SLS","37","1","0","1","0","0","42","3","47","0","2022-12-15 06:01:18"
"60","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0006","000600","00","71010210050006","7101021005000600","RT 6 DUSUN 3","1","SLS","68","1","43","0","43","0","34","12","45","1","2022-12-15 06:01:18"
"61","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0007","000700","00","71010210050007","7101021005000700","RT 7 DUSUN 4","1","SLS","54","1","0","0","0","0","58","3","76","0","2022-12-15 06:01:18"
"62","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0008","000800","00","71010210050008","7101021005000800","RT 8 DUSUN 4","1","SLS","97","1","0","0","0","0","62","4","87","0","2022-12-15 06:01:18"
"63","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0009","000900","00","71010210050009","7101021005000900","RT 9 DUSUN 5","1","SLS","71","1","1","0","0","1","50","5","57","1","2022-12-15 06:01:18"
"64","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0010","001000","00","71010210050010","7101021005001000","RT 10 DUSUN 5","1","SLS","57","1","0","0","0","0","55","0","77","0","2022-12-15 06:01:18"
"65","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0011","001100","00","71010210050011","7101021005001100","RT 11 DUSUN 6","1","SLS","57","1","34","0","34","0","27","4","34","0","2022-12-15 06:01:18"
"66","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","0012","001200","00","71010210050012","7101021005001200","RT 12 DUSUN 6","1","SLS","64","1","54","0","54","0","40","5","54","0","2022-12-15 06:01:18"
"67","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","5","7101021005","DOLODUO","1","1001","100100","00","71010210051001","7101021005100100","PERKEBUNAN KELAPA",,"NONSLS","1","1","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"68","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","0001","000100","00","71010210060001","7101021006000100","RT 1 DUSUN 1","1","SLS","42","1","45","0","45","0","39","0","45","1","2022-12-15 06:01:18"
"69","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","0002","000200","00","71010210060002","7101021006000200","RT 2 DUSUN 1","1","SLS","31","1","0","0","0","0","34","0","37","0","2022-12-15 06:01:18"
"70","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","0003","000300","00","71010210060003","7101021006000300","RT 3 DUSUN 2","1","SLS","28","1","0","0","0","0","29","3","30","0","2022-12-15 06:01:18"
"71","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","0004","000400","00","71010210060004","7101021006000400","RT 4 DUSUN 2","1","SLS","28","1","0","0","0","0","28","2","31","0","2022-12-15 06:01:18"
"72","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","0005","000500","00","71010210060005","7101021006000500","RT 5 DUSUN 3","1","SLS","38","1","30","0","30","0","30","0","30","1","2022-12-15 06:01:18"
"73","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","0006","000600","00","71010210060006","7101021006000600","RT 6 DUSUN 3","1","SLS","45","1","0","0","0","0","41","2","43","0","2022-12-15 06:01:18"
"74","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","0007","000700","00","71010210060007","7101021006000700","RT 7 DUSUN 4","1","SLS","58","1","0","0","0","0","39","0","43","0","2022-12-15 06:01:18"
"75","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","0008","000800","00","71010210060008","7101021006000800","RT 8 DUSUN 4","1","SLS","29","1","27","0","27","0","25","5","27","1","2022-12-15 06:01:18"
"76","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","1001","100100","00","71010210061001","7101021006100100","PERKEBUNAN",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"77","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","6","7101021006","MEKARUO","2","1002","100200","00","71010210061002","7101021006100200","PERAWAHAN",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"78","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","0001","000100","00","71010210070001","7101021007000100","RT 1 DUSUN 1","1","SLS","103","1","35","0","0","35","53","6","65","0","2022-12-15 06:01:18"
"79","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","0002","000200","00","71010210070002","7101021007000200","RT 2 DUSUN 1","1","SLS","47","1","50","0","50","0","41","1","50","0","2022-12-15 06:01:18"
"80","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","0003","000300","00","71010210070003","7101021007000300","RT 3 DUSUN 2","1","SLS","45","1","0","0","0","0","40","0","46","0","2022-12-15 06:01:18"
"81","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","0004","000400","00","71010210070004","7101021007000400","RT 4 DUSUN 2","1","SLS","44","1","46","0","27","19","42","4","48","1","2022-12-15 06:01:18"
"82","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","0005","000500","00","71010210070005","7101021007000500","RT 5 DUSUN 3","1","SLS","75","1","0","0","0","0","45","8","58","0","2022-12-15 06:01:18"
"83","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","0006","000600","00","71010210070006","7101021007000600","RT 6 DUSUN 3","1","SLS","56","1","0","0","0","0","60","15","81","0","2022-12-15 06:01:18"
"84","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","0007","000700","00","71010210070007","7101021007000700","RT 7 DUSUN 4","1","SLS","43","1","0","0","0","0","33","1","49","0","2022-12-15 06:01:18"
"85","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","0008","000800","00","71010210070008","7101021007000800","RT 8 DUSUN 4","1","SLS","55","1","27","0","1","26","50","1","59","1","2022-12-15 06:01:18"
"86","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","7","7101021007","WANGGA BARU","2","1001","100100","00","71010210071001","7101021007100100","PERKEBUNAN KELAPA",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
