id;kode_prov;nama_prov;kode_kab;id_kab;nama_kab;kode_kec;id_kec;nama_kec;kode_desa;id_desa;nama_desa;klas;kode_sls4;kode_sls6;kdsubsls;id_sls;id_sls6;nama_sls;jenis_sls
45;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0007;000700;00;71010210040007;7101021004000700;RT 1 DUSUN 4;SLS
46;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0009;000900;00;71010210040009;7101021004000900;RT 1 DUSUN 5;SLS
47;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0011;001100;00;71010210040011;7101021004001100;RT 1 DUSUN 6;SLS
48;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0013;001300;00;71010210040013;7101021004001300;RT 1 DUSUN 7;SLS
49;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0015;001500;00;71010210040015;7101021004001500;RT 1 DUSUN 8;SLS
50;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0016;001600;00;71010210040016;7101021004001600;RT 2 DUSUN 8;SLS
51;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0017;001700;00;71010210040017;7101021004001700;RT 1 DUSUN 9;SLS
52;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0018;001800;00;71010210040018;7101021004001800;RT 2 DUSUN 9;SLS
53;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;1001;100100;00;71010210041001;7101021004100100;SAWAH;NONSLS
54;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;1002;100200;00;71010210041002;7101021004100200;KEBUN KELAPA;NONSLS
55;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0001;000100;00;71010210050001;7101021005000100;RT 1 DUSUN 1;SLS
56;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0002;000200;00;71010210050002;7101021005000200;RT 2 DUSUN 1;SLS
57;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0003;000300;00;71010210050003;7101021005000300;RT 3 DUSUN 2;SLS
58;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0004;000400;00;71010210050004;7101021005000400;RT 4 DUSUN 2;SLS
59;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0005;000500;00;71010210050005;7101021005000500;RT 5 DUSUN 3;SLS
60;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0006;000600;00;71010210050006;7101021005000600;RT 6 DUSUN 3;SLS
61;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0007;000700;00;71010210050007;7101021005000700;RT 7 DUSUN 4;SLS
62;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0008;000800;00;71010210050008;7101021005000800;RT 8 DUSUN 4;SLS
63;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0009;000900;00;71010210050009;7101021005000900;RT 9 DUSUN 5;SLS
64;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0010;001000;00;71010210050010;7101021005001000;RT 10 DUSUN 5;SLS
65;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0011;001100;00;71010210050011;7101021005001100;RT 11 DUSUN 6;SLS
66;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;0012;001200;00;71010210050012;7101021005001200;RT 12 DUSUN 6;SLS
67;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;5;7101021005;DOLODUO;1;1001;100100;00;71010210051001;7101021005100100;PERKEBUNAN KELAPA;NONSLS
68;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;0001;000100;00;71010210060001;7101021006000100;RT 1 DUSUN 1;SLS
69;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;0002;000200;00;71010210060002;7101021006000200;RT 2 DUSUN 1;SLS
70;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;0003;000300;00;71010210060003;7101021006000300;RT 3 DUSUN 2;SLS
71;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;0004;000400;00;71010210060004;7101021006000400;RT 4 DUSUN 2;SLS
72;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;0005;000500;00;71010210060005;7101021006000500;RT 5 DUSUN 3;SLS
73;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;0006;000600;00;71010210060006;7101021006000600;RT 6 DUSUN 3;SLS
74;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;0007;000700;00;71010210060007;7101021006000700;RT 7 DUSUN 4;SLS
75;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;0008;000800;00;71010210060008;7101021006000800;RT 8 DUSUN 4;SLS
76;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;1001;100100;00;71010210061001;7101021006100100;PERKEBUNAN;NONSLS
77;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;6;7101021006;MEKARUO;2;1002;100200;00;71010210061002;7101021006100200;PERAWAHAN;NONSLS
78;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;0001;000100;00;71010210070001;7101021007000100;RT 1 DUSUN 1;SLS
79;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;0002;000200;00;71010210070002;7101021007000200;RT 2 DUSUN 1;SLS
80;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;0003;000300;00;71010210070003;7101021007000300;RT 3 DUSUN 2;SLS
81;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;0004;000400;00;71010210070004;7101021007000400;RT 4 DUSUN 2;SLS
82;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;0005;000500;00;71010210070005;7101021007000500;RT 5 DUSUN 3;SLS
83;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;0006;000600;00;71010210070006;7101021007000600;RT 6 DUSUN 3;SLS
84;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;0007;000700;00;71010210070007;7101021007000700;RT 7 DUSUN 4;SLS
85;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;0008;000800;00;71010210070008;7101021007000800;RT 8 DUSUN 4;SLS
86;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;1001;100100;00;71010210071001;7101021007100100;PERKEBUNAN KELAPA;NONSLS
87;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;7;7101021007;WANGGA BARU;2;1002;100200;00;71010210071002;7101021007100200;PERSAWAHAN;NONSLS
88;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;8;7101021008;TORAUT UTARA;2;0001;000100;00;71010210080001;7101021008000100;RT 1 RW 1;SLS
89;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;8;7101021008;TORAUT UTARA;2;0002;000200;00;71010210080002;7101021008000200;RT 3 RW 2;SLS
90;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;8;7101021008;TORAUT UTARA;2;0003;000300;00;71010210080003;7101021008000300;RT 3 RW 3;SLS
91;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;8;7101021008;TORAUT UTARA;2;0004;000400;00;71010210080004;7101021008000400;RT 4 RW 4;SLS
92;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;8;7101021008;TORAUT UTARA;2;0005;000500;00;71010210080005;7101021008000500;RT 5 RW 3;SLS
